Model,Image_ID,Attack,Is_Correct,Is_Success,L2_Distance
MobileNetV2,64,T-IFGSM,0,1,8.39289379119873
MobileNetV2,65,Baseline,1,0,0.0
MobileNetV2,65,FGSM,0,1,19.36943817138672
MobileNetV2,65,PGD,0,1,10.701231956481934
MobileNetV2,65,DeepFool,0,1,1.772310495376587
MobileNetV2,65,C&W,1,0,17.43212127685547
MobileNetV2,65,T-IFGSM,0,1,8.420844078063965
MobileNetV2,66,Baseline,1,0,0.0
MobileNetV2,66,FGSM,0,1,19.33884048461914
MobileNetV2,66,PGD,0,1,10.697750091552734
MobileNetV2,66,DeepFool,0,1,0.01902521587908268
MobileNetV2,66,C&W,0,1,33.3449592590332
MobileNetV2,66,T-IFGSM,0,1,8.498796463012695
MobileNetV2,67,Baseline,1,0,0.0
MobileNetV2,67,FGSM,0,1,19.374401092529297
MobileNetV2,67,PGD,0,1,10.835951805114746
MobileNetV2,67,DeepFool,0,1,0.48800453543663025
MobileNetV2,67,C&W,0,1,16.21824073791504
MobileNetV2,67,T-IFGSM,0,1,8.642834663391113
MobileNetV2,68,Baseline,1,0,0.0
MobileNetV2,68,FGSM,0,1,19.398317337036133
MobileNetV2,68,PGD,0,1,10.713518142700195
MobileNetV2,68,DeepFool,0,1,0.6303108930587769
MobileNetV2,68,C&W,0,1,7.798732757568359
MobileNetV2,68,T-IFGSM,0,1,8.471423149108887
MobileNetV2,69,Baseline,1,0,0.0
MobileNetV2,69,FGSM,0,1,19.308856964111328
MobileNetV2,69,PGD,0,1,10.702526092529297
MobileNetV2,69,DeepFool,0,1,0.043235182762145996
MobileNetV2,69,C&W,1,0,31.803293228149414
MobileNetV2,69,T-IFGSM,0,1,8.730932235717773
MobileNetV2,70,Baseline,1,0,0.0
MobileNetV2,70,FGSM,0,1,19.395936965942383
MobileNetV2,70,PGD,0,1,10.596149444580078
MobileNetV2,70,DeepFool,0,1,0.03734562546014786
MobileNetV2,70,C&W,0,1,10.591462135314941
MobileNetV2,70,T-IFGSM,0,1,8.381479263305664
MobileNetV2,71,Baseline,1,0,0.0
MobileNetV2,71,FGSM,0,1,19.353185653686523
MobileNetV2,71,PGD,0,1,10.79853343963623
MobileNetV2,71,DeepFool,0,1,0.013091525994241238
MobileNetV2,71,C&W,0,1,20.951330184936523
MobileNetV2,71,T-IFGSM,0,1,8.39261245727539
MobileNetV2,72,Baseline,1,0,0.0
MobileNetV2,72,FGSM,0,1,19.05487060546875
MobileNetV2,72,PGD,0,1,10.724483489990234
MobileNetV2,72,DeepFool,0,1,3.153137445449829
MobileNetV2,72,C&W,0,1,30.695804595947266
MobileNetV2,72,T-IFGSM,0,1,8.505497932434082
MobileNetV2,73,Baseline,1,0,0.0
MobileNetV2,73,FGSM,0,1,19.398427963256836
MobileNetV2,73,PGD,0,1,10.709735870361328
MobileNetV2,73,DeepFool,0,1,0.00017367427062708884
MobileNetV2,73,C&W,0,1,5.4155378341674805
MobileNetV2,73,T-IFGSM,0,1,8.451001167297363
MobileNetV2,74,Baseline,1,0,0.0
MobileNetV2,74,FGSM,0,1,19.297990798950195
MobileNetV2,74,PGD,0,1,10.662725448608398
MobileNetV2,74,DeepFool,0,1,0.18118220567703247
MobileNetV2,74,C&W,0,1,26.721261978149414
